interest_rate,debt_to_income,term,loan_amount,verified_income,application_type,grade,balance,paid_total,paid_interest,paid_principal,paid_late_fees
14.07,18.01,60,28000,Verified,individual,C,27015.86,1999.33,1015.19,984.14,0
12.61,5.04,36,5000,Not Verified,individual,C,4651.37,499.12,150.49,348.63,0
17.09,21.15,36,2000,Source Verified,individual,D,1824.63,281.8,106.43,175.37,0
6.72,10.16,36,21600,Not Verified,individual,A,18853.26,3312.89,566.15,2746.74,0
14.07,57.96,36,23000,Verified,joint,C,21430.15,2324.65,754.8,1569.85,0
6.72,6.46,36,5000,Not Verified,individual,A,4256.71,873.13,129.84,743.29,0
13.59,23.66,60,24000,Source Verified,joint,C,22560,2730.51,1290.51,1440,0
11.99,16.19,60,20000,Source Verified,individual,B,19005.39,1765.84,771.23,994.61,0
13.59,36.48,36,20000,Source Verified,individual,C,18156.66,2703.22,859.88,1843.34,0
6.71,18.91,36,6400,Not Verified,individual,A,6077.13,391.15,68.28,322.87,0
15.04,10.45,60,25000,Verified,individual,C,24143.51,1764.95,908.46,856.49,0
9.92,1.82,60,40000,Source Verified,individual,B,38434.2,2500.84,935.04,1565.8,0
13.59,12.06,36,16000,Source Verified,individual,C,14525.3,2204.88,730.18,1474.7,0
9.43,3.67,60,17000,Source Verified,individual,B,16326.13,1060.47,386.6,673.87,0
19.03,33.98,36,3000,Verified,individual,D,2744.21,454.36,198.57,255.79,0
19.03,38.46,60,20000,Not Verified,individual,D,19172.64,2023.74,1196.38,827.36,0
19.03,31.22,60,12000,Not Verified,individual,D,11374.52,1532.08,906.6,625.48,0
28.72,20.33,60,30000,Source Verified,individual,F,28798.08,4687.88,3485.96,1201.92,0
26.77,9.53,36,5000,Verified,individual,E,0,5202.6426724643,202.64,5000,0
15.05,18.44,60,20000,Source Verified,individual,C,0,20653.717721938,653.72,20000,0
6.08,15.6,36,7000,Not Verified,individual,A,6102.23,1063.69,165.92,897.77,0
11.98,32,36,10000,Source Verified,joint,B,9296.37,989.49,285.86,703.63,0
13.59,26.53,60,21050,Not Verified,individual,C,20045.3,1909.57,904.87,1004.7,0
6.71,7.27,36,3500,Verified,individual,A,3323.42,223.71,47.13,176.58,0
7.96,17.31,36,8000,Not Verified,individual,A,7403.61,744.57,148.18,596.39,0
12.61,14.42,60,18000,Source Verified,individual,C,17342.65,1205.33,547.98,657.35,0
11.98,13.68,36,10000,Source Verified,individual,B,9432.28,750.79,183.07,567.72,0
7.34,19.38,36,3200,Not Verified,individual,A,2557.44,696.63,54.07,642.56,0
5.32,11,36,10000,Not Verified,individual,A,8704.48,1498.36,202.84,1295.52,0
6.07,2.88,36,6000,Source Verified,individual,A,5540.54,544.14,84.68,459.46,0
12.62,26.25,36,12000,Verified,individual,C,10878.71,1600.15,478.86,1121.29,0
9.44,24.9,60,40000,Source Verified,individual,B,37878.15,3334.66,1212.81,2121.85,0
19.03,36.75,60,19000,Verified,joint,D,18214.02,1922.54,1136.56,785.98,0
